tracking_id,source,campaign,influencer_id,user_id,product,transaction_date,orders,revenue
1,paid_ad,MB_SummerSale,,dde52217-3905-44b7-825c-4ee8c8b01e8e,HKVitals Biotin,2025-05-17,1,3476.85
2,influencer,Gritzo_Growth,42.0,00b9cca6-725a-4d30-846d-67cab1c9a7ca,MuscleBlaze Whey,2025-05-09,1,4200.49
3,influencer,Gritzo_Growth,27.0,6a52e6c0-159c-4c08-a6f4-25a8c4892d37,Gritzo SuperMilk,2025-06-13,1,2568.83
4,influencer,HKV_ImmunityBoost,17.0,d0be02a4-c567-4e97-8475-cc35c2a7a9d1,Gritzo SuperMilk,2025-05-09,1,3427.06
5,organic,MB_WinterBlast,,682ca6af-581a-4f32-96e6-bf548ab6fc1d,HKVitals Biotin,2025-06-23,1,3789.62
6,influencer,HKV_ImmunityBoost,50.0,9545b7f8-3ea5-42b8-a814-399cc98586aa,MuscleBlaze Whey,2025-07-09,1,2528.61
7,organic,MB_WinterBlast,,1d117bc2-c6e2-4fae-8258-4c8d63105efa,HKVitals Biotin,2025-04-17,1,4329.29
8,influencer,HKV_ImmunityBoost,4.0,0fe8ad06-580e-41a2-b7b2-ef3e8eb72717,HKVitals Biotin,2025-02-23,1,2031.52
9,paid_ad,Gritzo_Growth,,a9598830-15d4-4739-8eee-540f7442b4f4,Gritzo SuperMilk,2025-03-11,1,4766.28
10,influencer,MB_WinterBlast,43.0,598906a5-a6be-4463-93cb-cd7dc6d1a6e1,HKVitals Biotin,2025-05-29,1,1581.46
11,influencer,MB_WinterBlast,35.0,a8a57a28-2293-45e8-9d3e-f6917dc1075f,HKVitals Biotin,2025-05-08,1,918.74
12,influencer,HKV_ImmunityBoost,4.0,98092660-8437-4ff8-8596-624b15fa7c42,HKVitals Biotin,2025-05-14,1,2160.59
13,organic,Gritzo_Growth,,91a6f252-ac06-4953-af08-14ae37295fab,HKVitals Biotin,2025-05-16,4,8332.59
14,influencer,Gritzo_Growth,28.0,53c8755f-81a3-4d8f-bd2b-9075bbb80c0b,HKVitals Biotin,2025-07-19,1,3745.78
15,influencer,HKV_ImmunityBoost,21.0,78ffc4e5-36e3-45ce-a7a5-95191a3542d9,MuscleBlaze Whey,2025-02-12,1,2678.89
16,organic,Gritzo_Growth,,95c276c3-5b5c-467a-8b8b-2ddf092cd246,MuscleBlaze Whey,2025-07-10,1,1833.11
17,influencer,Gritzo_Growth,23.0,d94dfa32-b678-4112-9032-88b0fae7bf94,MuscleBlaze Whey,2025-06-09,1,1069.62
18,influencer,MB_SummerSale,45.0,518d1c92-b59e-4086-a8ed-aeefd1296fa3,Gritzo SuperMilk,2025-04-26,1,4748.4
19,organic,MB_WinterBlast,,32c00a13-a553-464e-962f-af110b967a47,MuscleBlaze Whey,2025-07-02,1,3083.29
20,influencer,MB_WinterBlast,8.0,84353c4d-b676-4a03-b8d3-1a4cc73dd3c6,HKVitals Biotin,2025-02-24,1,731.2
21,paid_ad,MB_WinterBlast,,655254f1-2516-45d7-a37d-91ba99a2cee4,MuscleBlaze Whey,2025-02-12,1,2303.18
22,influencer,MB_SummerSale,25.0,1a97fc66-85d4-4643-ae17-591d5464d20f,MuscleBlaze Whey,2025-01-22,1,3032.78
23,influencer,HKV_ImmunityBoost,34.0,e9094b58-407c-4aa4-bd2a-59f3e746679c,MuscleBlaze Whey,2025-07-02,1,2372.78
